cod_prodam,desc_local,latitude,longitude
2400,Av. Interlagos (Centro/Bairro) a mais 11 metros da R. Geraldo Pacheco Valente,-23.67900300000000200,-46.68570299999999700
2401,Av. Interlagos (Bairro/Centro) a menos de 30 Metros da Av. Eng. Eusébio Stevaux,-23.68313200000000000,-46.69054400000000300
2402,Avenida Nossa Senhora do Sabara (Bairro/Centro) Numero 421,-23.66046700000000100,-46.69518999999999700
2403,Av. Nossa Senhora do Sabará (C/B) a mais 117m da Rua Dr. Armando da Silva Prado,-23.66039700000000000,-46.69592300000000000
2404,Avenida Pirajussara (Bairro/Centro) a menos 270m da Rua Caminho do Engenho,-23.59816599999999900,-46.74715799999999900
2405,Avenida Pirajussara (Bairro/Centro) a menos 270m da Rua Caminho do Engenho,-23.59816599999999900,-46.74715799999999900
2406,Av Professor Francisco Morato (Bairro/Centro) a menos 70m da Rua David Matarasso,-23.59862700000000000,-46.74097100000000200
2407,Av Professor Francisco Morato (Bairro/Centro) a menos 70m da Rua David Matarasso,-23.59862700000000000,-46.74097100000000200
2408,Av Prof Francisco Morato (C/B) a menos 94m da Rua João Batista de Souza Filho,-23.58261900000000100,-46.71364599999999700
2409,Av Prof Francisco Morato (C/B) a menos 94m da Rua João Batista de Souza Filho,-23.58261900000000100,-46.71364599999999700
2410,Avenida Professor Vicente Rao (Diadema/Marginal) oposto ao Número 894,-23.63267099999999800,-46.68159500000000200
2411,Avenida Professor Vicente Rao (Diadema/Marginal) oposto ao Número 894,-23.63267099999999800,-46.68159500000000200
2412,Avenida Professor Vicente Rao (Marginal/Diadema) Número 860,-23.63249400000000100,-46.68148800000000200
2413,Avenida Professor Vicente Rao (Marginal/Diadema) Número 860,-23.63249400000000100,-46.68148800000000200
2414,Estrada de Itapecerica (Bairro/Centro) Número 1873,-23.64949199999999900,-46.75163299999999800
2415,Estrada de Itapecerica (Bairro/Centro) Número 1873,-23.64949199999999900,-46.75163299999999800
2416,Estrada de Itapecerica (Centro/Bairro) Número 1742,-23.64868500000000000,-46.74994300000000200
2417,Estrada de Itapecerica (Centro/Bairro) Número 1742,-23.64868500000000000,-46.74994300000000200
2418,Rua Miguel Yunes (Bairro/Centro) a menos 45 metros da Rua Tabare,-23.69041800000000100,-46.68652000000000200
2419,Rua Miguel Yunes (Centro/ Bairro) a menos 170 metros do número 343,-23.69052100000000000,-46.68662299999999700
2420,Rua Olivia Guedes Penteado (Bairro/Centro) oposto ao número 1354,-23.67869200000000200,-46.70684099999999700
2421,Rua Olívia Guedes Penteado (Centro/Bairro) Número 1354,-23.67882000000000200,-46.70677599999999800
