Empresa,COD_LOCAL,VELOC_VIA,VELOC_MARCA,VIA,SENTIDO,PISTA,Latitude,Longitude,Enquadramento_fiscalizados,Data_inicio_operacao,DESC_LOCAL,,,,,,,,,,,,,,,,,
,2000,60,68,,,,,,,,ESTRADA,DO,M,BOI,"MIRIM,B/C,ALTURA",DO,NUMERO,1457,,,,,,,,,,
,2001,50,58,,,,,,,,ESTRADA,DO,M,BOI,"MIRIM,C/B,APOS",R,CARLOS,SEVERO,,,,,,,,,,
,2002,50,58,,,,,,,,ESTRADA,DO,M,BOI,"MIRIM,B/C,PROXIMO",R,EMILIO,KERR,,,,,,,,,,
,2003,70,78,,,,,,,,AV,P.,LUIZ,I.,ANHAIA,"MELLO,C/B,PROXIMO",R,TORQUATO,TASSO,,,,,,,,,
,2004,70,78,,,,,,,,AV,P.,LUIZ,I.,ANHAIA,"MELLO,C/B,PROXIMO",N,3740,,,,,,,,,,
,2005,70,78,,,,,,,,AV,P.,LUIZ,I.,ANHAIA,"MELLO,B/C,APOS",R,ISAQUE,V.,FREITAS,,,,,,,,
,2006,70,78,,,,,,,,R,DR,LUIZ,"AYRES,C/B,600",M,ANTES,METRO,CORINTHIANS/ITAQUERA,,,,,,,,,,
,2007,70,78,,,,,,,,R,DR,LUIZ,"AYRES,B/C,",600,M,APOS,METRO,CORINTHIANS/ITAQUERA,,,,,,,,,
,2008,70,78,,,,,,,,AV,ANTONIO,ESTEV.,DE,"CARVALHO,C/B,PROXIMO",R,ASTORGA,,,,,,,,,,,
,2009,70,78,,,,,,,,AV,ANTONIO,ESTEV.,DE,"CARVALHO,B/C,OPOSTO",R,ASTORGA,,,,,,,,,,,
,2010,70,78,,,,,,,,AV,LUIZ,DUMONT,"VILLARES,C/B,PROXIMO",R,FRANCISCO,LIPI,,,,,,,,,,,
,2011,70,78,,,,,,,,AV,LUIZ,DUMONT,"VILLARES,B/C,PROXIMO",R,SAO,LEONCIO,,,,,,,,,,,
,2012,60,68,,,,,,,,RUA,DR.,ASSIS,"RIBEIRO,C/B,PROXIMO",R,MIGUEL,GARCIA,,,,,,,,,,,
,2013,60,68,,,,,,,,RUA,DR.,ASSIS,"RIBEIRO,B/C,OPOSTO",A,R,HUGO,WOLF,,,,,,,,,,
,2014,60,68,,,,,,,,R.,DR.,ASSIS,"RIBEIRO,B/C,OPOSTO",A,R,MANUEL,DE,M.,GODINHO,,,,,,,,
,2015,50,58,,,,,,,,AV,DOUTOR,ASSIS,"RIBEIRO,C/B,PROXIMO",R,SERRA,DE,ITAQUERI,,,,,,,,,,
,2016,60,68,,,,,,,,AV,ENG,ARMANDO,DE,"ARRUDA,PEREIRA,C/B,PROXIMO",R,ANTIBES,,,,,,,,,,,
,2017,60,68,,,,,,,,AV,ENG,ARMANDO,DE,"ARRUDA,PEREIRA,B/C,OPOSTO",R,ANTIBES,,,,,,,,,,,
,2018,90,98,,,,,,,,AV,ABRAAO,DE,"MORAES,IPIR/IMIG,APOS",PAS.E,ANTES,VD,M.TORLONI,,,,,,,,,,
,2019,90,98,,,,,,,,AV,ABRAAO,DE,"MORAES,IMIG/IPIR,PROX",PAS.,E,APOS,VD,M.TORLONI,,,,,,,,,
,2020,70,78,,,,,,,,AV,SALIM,FARAH,"MALUF,C/B,PROXIMO",R,FAUSTO,CLEVA,,,,,,,,,,,
,2021,70,78,,,,,,,,AV,SALIM,FARAH,"MALUF,B/C,PROXIMO",R,RHONE,,,,,,,,,,,,
