seq,CODLOG,DATA PUBLICALÇÃO,CÓDIGO PRODAM,TIPO EQUIP.,LOCAL,LATATITUDE,LONGITUDE
,,,4219,AVS,"RUA MARIA CARLOTA (BAIRRO/CENTRO), NÚMERO 395",-23.525038°,-46.528423°
49,,,4226,AVS,"RUA CATUMBI (C/B), Nº 318",-23.535375°,-46.600145°
1,,,4227,AVS,RUA MARCOS ARRUDA (B/C) X RUA CACHOEIRA,-23.534479°,-46.602564°
250,,,4228,AVS,"AV GABRIELA MISTRAL (PENHA/MARGINAL TIETÊ),  NÚMERO 520",-23.516569°,-46.549768°
47,,,4229,AVS,"AV GABRIELA MISTRAL (MARGINAL TIETÊ/PENHA), NÚMERO 503",-23.516853°,-46.549691°
,,,4230,AVS,"RUA DO ORATÓRIO (MOOCA/VILA PRUDENTE), OPOSTO AO NÚMERO 2621",-23.569888°,-46.581378°
122,,,4231,AVS,"RUA DO ORATÓRIO (V.PRUDENTE/MOOCA), Nº 2621",-23.570198°,-46.581329°
244,,,4232,AVS,RUA TUIUTI (V.MARIA/TATUAPÉ) X RUA PADRE ADELINO,-23.545209°,-46.574399°
45,,,4233,AVS,"RUA ANTÔNIO DE BARROS (V.FORMOSA/TATUAPÉ), Nº 2361",-23.551053°,-46.554309°
234,,,4234,AVS,RUA ANTÔNIO DE BARROS (TATUAPÉ / V.FORMOSA) X RUA AGUAPEÍ,-23.550870°,-46.554457°
5,,,4235,AVS,RUA DO ORFANATO X PRAÇA PADRE DAMIÃO,-23.581390°,-46.584950°
47,,,4244,AVS,AV JOAO XXIII ( BAIRRO/CENTRO ) X AV MONSENHOR ANTONIO CASTRO,-23.570123°,-46.529380°
250,,,4245,AVS,AV JOAO XXIII ( CENTRO/BAIRRO ) X AV MONSENHOR ANTONIO CASTRO,-23.570360°,-46.529702°
,,,4303,AVS,AV SALIM FARAH MALUF (M. TIETE/V. PRUD.) X AV CELSO GARCIA,-23.535098°,-46.582942°
,,,4304,AVS,AV SALIM FARAH MALUF (V. PRUD./M. TIETE) X AV CELSO GARCIA,-23.535458°,-46.582712°
,,,4305,AVS,RUA DOUTOR ASSIS RIBEIRO (CENTRO/BAIRRO) X AV DOUTOR  SALOMÃO VASCONCELOS,-23.500039°,-46.524619°
14,,,4307,AVS,"AV MAL. TITO (B/C), Nº 6035",-23.492662°,-46.388604°
269,,,4310,AVS,AV SÃO MIGUEL (B/C) X GOV. CARVALHO PINTO,-23.515005°,-46.520222°
96,,,4312,AVS,AV MERCÚRIO (BAIRRO/CENTRO) X  R. DA CANTAREIRA,-23.540429°,-46.629281°
183,,,4313,AVS,AV DO ESTADO (CENTRO/BAIRRO) X AV MERCÚRIO,-23.541784°,-46.628173°
,,,4314,AVS,AV SALIM FARAH MALUF (BAIRRO/CENTRO) X AV VILA EMA,-23.579810°,-46.572207°
241,,,4316,AVS,AV DO ESTADO (IPIRANGA/SANTANA) X AV SANTOS DUMONT,-23.524988°,-46.630874°
237,,,4317,AVS,AV CONSELHEIRO CARRÃO (BAIRRO/CENTRO) X R LUIS PINTO,-23.550150°,-46.534199°
202,,,4318,AVS,AV CONSELHEIRO CARRÃO (CENTRO/BAIRRO) X R LUIS PINTO,-23.550076°,-46.534083°
55,,,4321,AVS,"AV PAES DE BARROS (BAIRRO/CENTRO), Nº 1025 - FIXO",-23.564264°,-46.596336°
75,,,4326,AVS,"AV ALCANTARA MACHADO (CENTRO/BAIRRO), A MAIS 18M DA R. HIPÓDROMO",-23.549706°,-46.605411°
,,,4328,AVS,"AV CAMPANELLA (BAIRRO/CENTRO) , OPOSTO AO Nº 696",-23.536071°,-46.467966°
,,,4332,AVS,"AV CAMPANELLA (C/B), Nº 696",-23.536180°,-46.468223°
197,,,4334,AVS,"RUA TAQUARI (CENTRO/BAIRRO), Nº 624",-23.550924°,-46.597413°
8,,,4336,AVS,AV JACU PÊSSEGO/NOVA TRABALHADORES (S. MATEUS/S. MIGUEL) X R. MONTANHAS,-23.529047°,-46.456980°
6,,,4342,AVS,RUA MARIA PAULA (BAIRRO/CENTRO) X AV BRIG. LUIS ANTÔNIO,-23.552400°,-46.637992°
52,,,4393,AVS,RUA JOÃO TOBIAS (BAIRRO/CENTRO) X AV ALCÂNTARA MACHADO,-23.545739°,-46.598040°
300,,,4412,AVS,AV SÃO JOÃO (CENTRO/BAIRRO) X AV IPIRANGA,-23.542330°,-46.640315°
,,,4413,AVS,"AV SAPOPEMBA (CENTRO/BAIRRO), NÚMERO 3244",-23.573826°,-46.558076°
270,,,4414,AVS,"RUA ACURUI (BAIRRO/CENTRO), OPOSTO AO Nº 700",-23.561419°,-46.552896°
254,,,4415,AVS,"RUA ACURUI (CENTRO/BAIRRO), Nº 700",-23.561329°,-46.552768°
4,,,4594,AVS,AV SALIM FARAH MALUF (V.PRUDENTE/MARGINAL) X  RUA  DIOGO LOPES,-23.561816°,-46.576701°
209,,,4595,AVS,"AV ALCANTARA MACHADO (BAIRRO/CENTRO), X RUA BRESSER",-23.547963°,-46.602433°
271,,,4596,AVS,"RUA JOÃO TEODORO (BRÁS/LUZ), X AV TIRADENTES",-23.532236°,-46.633043°
206,,,4311/4501,AVS,"AV PAES DE BARROS (CENTRO/BAIRRO), N° 148",-23.556719°,-46.600334°
