"trip_id","arrival_time","departure_time","stop_id","stop_name","stop_sequence","stop_lat","stop_lon"
"METRÔ 15-0","07:00:00","07:00:00",9505577,"Vila Prudente (monotrilho)",1,-23.584709,-46.58322
"METRÔ 15-0","07:04:00","07:04:00",7405493,"Oratorio",2,-23.582192,-46.562028
"METRÔ 15-1","07:00:00","07:00:00",7405493,"Oratorio",1,-23.582192,-46.562028
"METRÔ 15-1","07:04:00","07:04:00",9505577,"Vila Prudente (monotrilho)",2,-23.584709,-46.58322
"METRÔ L1-0","04:00:00","04:00:00",18852,"Jabaquara",1,-23.645754,-46.642084
"METRÔ L1-0","04:01:52","04:01:52",18851,"Conceição",2,-23.636214,-46.641141
"METRÔ L1-0","04:03:44","04:03:44",18853,"São Judas",3,-23.62558,-46.640778
"METRÔ L1-0","04:05:36","04:05:36",18854,"Saúde",4,-23.618285,-46.639148
"METRÔ L1-0","04:07:28","04:07:28",18855,"Praça Da Árvore",5,-23.610578,-46.637848
"METRÔ L1-0","04:09:20","04:09:20",18856,"Santa Cruz",6,-23.599225,-46.636659
"METRÔ L1-0","04:11:12","04:11:12",18857,"Vila Mariana",7,-23.589541,-46.634701
"METRÔ L1-0","04:13:04","04:13:04",18984,"Ana Rosa",8,-23.581376,-46.638388
"METRÔ L1-0","04:14:56","04:14:56",18989,"Paraíso",9,-23.574971,-46.640554
"METRÔ L1-0","04:16:48","04:16:48",18862,"Vergueiro",10,-23.568994,-46.639858
"METRÔ L1-0","04:18:40","04:18:40",18863,"São Joaquim",11,-23.561912,-46.638652
"METRÔ L1-0","04:20:32","04:20:32",18868,"Liberdade",12,-23.554724,-46.635598
"METRÔ L1-0","04:22:24","04:22:24",19000,"Sé",13,-23.550717,-46.633574
"METRÔ L1-0","04:24:16","04:24:16",18870,"São Bento",14,-23.543959,-46.633788
"METRÔ L1-0","04:26:08","04:26:08",18872,"Luz",15,-23.537691,-46.633687
"METRÔ L1-0","04:28:00","04:28:00",18873,"Tiradentes",16,-23.530857,-46.631959
"METRÔ L1-0","04:29:52","04:29:52",18874,"Armênia",17,-23.525545,-46.629317
"METRÔ L1-0","04:31:44","04:31:44",18877,"Portuguesa-tietê",18,-23.516587,-46.625123
"METRÔ L1-0","04:33:36","04:33:36",18878,"Carandiru",19,-23.509654,-46.62491
"METRÔ L1-0","04:35:28","04:35:28",18879,"Santana",20,-23.502724,-46.624716
"METRÔ L1-0","04:37:20","04:37:20",18880,"Jardim São Paulo-ayrton Senna",21,-23.492233,-46.616687
"METRÔ L1-0","04:39:12","04:39:12",18881,"Parada Inglesa",22,-23.487111,-46.608877
"METRÔ L1-0","04:41:04","04:41:04",18882,"Tucuruvi",23,-23.480048,-46.603211
"METRÔ L1-1","04:00:00","04:00:00",18882,"Tucuruvi",1,-23.480048,-46.603211
"METRÔ L1-1","04:01:52","04:01:52",18881,"Parada Inglesa",2,-23.487111,-46.608877
"METRÔ L1-1","04:03:44","04:03:44",18880,"Jardim São Paulo-ayrton Senna",3,-23.492233,-46.616687
"METRÔ L1-1","04:05:36","04:05:36",18879,"Santana",4,-23.502724,-46.624716
"METRÔ L1-1","04:07:28","04:07:28",18878,"Carandiru",5,-23.509654,-46.62491
"METRÔ L1-1","04:09:20","04:09:20",18877,"Portuguesa-tietê",6,-23.516587,-46.625123
"METRÔ L1-1","04:11:12","04:11:12",18874,"Armênia",7,-23.525545,-46.629317
"METRÔ L1-1","04:13:04","04:13:04",18873,"Tiradentes",8,-23.530857,-46.631959
"METRÔ L1-1","04:14:56","04:14:56",18872,"Luz",9,-23.537691,-46.633687
"METRÔ L1-1","04:16:48","04:16:48",18870,"São Bento",10,-23.543959,-46.633788
"METRÔ L1-1","04:18:40","04:18:40",19000,"Sé",11,-23.550717,-46.633574
"METRÔ L1-1","04:20:32","04:20:32",18868,"Liberdade",12,-23.554724,-46.635598
"METRÔ L1-1","04:22:24","04:22:24",18863,"São Joaquim",13,-23.561912,-46.638652
"METRÔ L1-1","04:24:16","04:24:16",18862,"Vergueiro",14,-23.568994,-46.639858
"METRÔ L1-1","04:26:08","04:26:08",18989,"Paraíso",15,-23.574971,-46.640554
"METRÔ L1-1","04:28:00","04:28:00",18984,"Ana Rosa",16,-23.581376,-46.638388
"METRÔ L1-1","04:29:52","04:29:52",18857,"Vila Mariana",17,-23.589541,-46.634701
"METRÔ L1-1","04:31:44","04:31:44",18856,"Santa Cruz",18,-23.599225,-46.636659
"METRÔ L1-1","04:33:36","04:33:36",18855,"Praça Da Árvore",19,-23.610578,-46.637848
"METRÔ L1-1","04:35:28","04:35:28",18854,"Saúde",20,-23.618285,-46.639148
"METRÔ L1-1","04:37:20","04:37:20",18853,"São Judas",21,-23.62558,-46.640778
"METRÔ L1-1","04:39:12","04:39:12",18851,"Conceição",22,-23.636214,-46.641141
"METRÔ L1-1","04:41:04","04:41:04",18852,"Jabaquara",23,-23.645754,-46.642084
"METRÔ L2-0","04:00:00","04:00:00",9505541,"Vila Prudente",1,-23.584584,-46.581533
"METRÔ L2-0","04:02:30","04:02:30",3305856,"Tamanduatei",2,-23.592984,-46.589602
"METRÔ L2-0","04:05:00","04:05:00",3305845,"Sacoma",3,-23.601542,-46.603125
"METRÔ L2-0","04:07:30","04:07:30",3305749,"Alto Do Ipiranga",4,-23.602126,-46.612638
"METRÔ L2-0","04:10:00","04:10:00",2705944,"Santos-imigrantes",5,-23.595716,-46.620723
"METRÔ L2-0","04:12:30","04:12:30",9206443,"Chácara Klabin",6,-23.592527,-46.630193
"METRÔ L2-0","04:15:00","04:15:00",18860,"Ana Rosa",7,-23.581203,-46.638489
"METRÔ L2-0","04:17:30","04:17:30",18861,"Paraíso",8,-23.574932,-46.640563
"METRÔ L2-0","04:20:00","04:20:00",18858,"Brigadeiro",9,-23.568277,-46.648152
"METRÔ L2-0","04:22:30","04:22:30",18859,"Trianon-masp",10,-23.562506,-46.655163
"METRÔ L2-0","04:25:00","04:25:00",18850,"Consolação",11,-23.557501,-46.660872
"METRÔ L2-0","04:27:30","04:27:30",18848,"Clínicas",12,-23.55419,-46.670723
"METRÔ L2-0","04:30:00","04:30:00",4406608,"S. N. Sra. De Fátima-sumaré",13,-23.550612,-46.677639
"METRÔ L2-0","04:32:30","04:32:30",18849,"Vila Madalena",14,-23.54672,-46.690738
"METRÔ L2-1","04:00:00","04:00:00",18849,"Vila Madalena",1,-23.54672,-46.690738
"METRÔ L2-1","04:02:30","04:02:30",4406608,"S. N. Sra. De Fátima-sumaré",2,-23.550612,-46.677639
"METRÔ L2-1","04:05:00","04:05:00",18848,"Clínicas",3,-23.55419,-46.670723
"METRÔ L2-1","04:07:30","04:07:30",18850,"Consolação",4,-23.557501,-46.660872
"METRÔ L2-1","04:10:00","04:10:00",18859,"Trianon-masp",5,-23.562506,-46.655163
"METRÔ L2-1","04:12:30","04:12:30",18858,"Brigadeiro",6,-23.568277,-46.648152
"METRÔ L2-1","04:15:00","04:15:00",18861,"Paraíso",7,-23.574932,-46.640563
"METRÔ L2-1","04:17:30","04:17:30",18860,"Ana Rosa",8,-23.581203,-46.638489
"METRÔ L2-1","04:20:00","04:20:00",9206443,"Chácara Klabin",9,-23.592527,-46.630193
"METRÔ L2-1","04:22:30","04:22:30",2705944,"Santos-imigrantes",10,-23.595716,-46.620723
"METRÔ L2-1","04:25:00","04:25:00",3305749,"Alto Do Ipiranga",11,-23.602126,-46.612638
"METRÔ L2-1","04:27:30","04:27:30",3305845,"Sacoma",12,-23.601542,-46.603125
"METRÔ L2-1","04:30:00","04:30:00",3305856,"Tamanduatei",13,-23.592984,-46.589602
"METRÔ L2-1","04:32:30","04:32:30",9505541,"Vila Prudente",14,-23.584584,-46.581533
"METRÔ L3-0","04:00:00","04:00:00",18986,"Palmeiras - Barra Funda",1,-23.525714,-46.666782
"METRÔ L3-0","04:03:10","04:03:10",18864,"Marechal Deodoro",2,-23.533985,-46.655728
"METRÔ L3-0","04:06:20","04:06:20",18865,"Santa Cecília",3,-23.538694,-46.649732
"METRÔ L3-0","04:09:30","04:09:30",18866,"República",4,-23.544375,-46.642815
"METRÔ L3-0","04:12:40","04:12:40",18867,"Anhangabaú",5,-23.547916,-46.639324
"METRÔ L3-0","04:15:50","04:15:50",18869,"Sé",6,-23.550634,-46.633326
"METRÔ L3-0","04:19:00","04:19:00",18871,"Pedro II",7,-23.549809,-46.625474
"METRÔ L3-0","04:22:10","04:22:10",1010054,"Bras",8,-23.547686,-46.615285
"METRÔ L3-0","04:25:20","04:25:20",18875,"Bresser-mooca",9,-23.546596,-46.607323
"METRÔ L3-0","04:28:30","04:28:30",18876,"Belem",10,-23.543118,-46.589599
"METRÔ L3-0","04:31:40","04:31:40",18944,"Tatuape",11,-23.540352,-46.57665
"METRÔ L3-0","04:34:50","04:34:50",18883,"Carrão",12,-23.537601,-46.563637
"METRÔ L3-0","04:38:00","04:38:00",18884,"Penha",13,-23.533648,-46.54395
"METRÔ L3-0","04:41:10","04:41:10",18885,"Vila Matilde",14,-23.531903,-46.530539
"METRÔ L3-0","04:44:20","04:44:20",18886,"Guilhermina Esperança",15,-23.529195,-46.516734
"METRÔ L3-0","04:47:30","04:47:30",18887,"Patriarca",16,-23.531079,-46.501715
"METRÔ L3-0","04:50:40","04:50:40",18888,"Artur Alvim",17,-23.540339,-46.484424
"METRÔ L3-1","04:00:00","04:00:00",18890,"Corinthians-itaquera",1,-23.54208,-46.471379
"METRÔ L3-1","04:03:10","04:03:10",18888,"Artur Alvim",2,-23.540339,-46.484424
"METRÔ L3-1","04:06:20","04:06:20",18887,"Patriarca",3,-23.531079,-46.501715
"METRÔ L3-1","04:09:30","04:09:30",18886,"Guilhermina Esperança",4,-23.529195,-46.516734
"METRÔ L3-1","04:12:40","04:12:40",18885,"Vila Matilde",5,-23.531903,-46.530539
"METRÔ L3-1","04:15:50","04:15:50",18884,"Penha",6,-23.533648,-46.54395
"METRÔ L3-1","04:19:00","04:19:00",18883,"Carrão",7,-23.537601,-46.563637
"METRÔ L3-1","04:22:10","04:22:10",18944,"Tatuape",8,-23.540352,-46.57665
"METRÔ L3-1","04:25:20","04:25:20",18876,"Belem",9,-23.543118,-46.589599
"METRÔ L3-1","04:28:30","04:28:30",18875,"Bresser-mooca",10,-23.546596,-46.607323
"METRÔ L3-1","04:31:40","04:31:40",1010054,"Bras",11,-23.547686,-46.615285
"METRÔ L3-1","04:34:50","04:34:50",18871,"Pedro II",12,-23.549809,-46.625474
