"trip_id","arrival_time","departure_time","stop_id","stop_name","stop_sequence","stop_lat","stop_lon"
"CPTM L07-0","04:00:00","04:00:00",18940,"Luz",1,-23.535207,-46.63487
"CPTM L07-0","04:08:00","04:08:00",18985,"Palmeiras - Barra Funda",2,-23.525607,-46.666648
"CPTM L07-0","04:16:00","04:16:00",18919,"Água Branca",3,-23.521787,-46.687667
"CPTM L07-0","04:24:00","04:24:00",18917,"Lapa (linha 7)",4,-23.517675,-46.703534
"CPTM L07-0","04:32:00","04:32:00",18916,"Piqueri",5,-23.504206,-46.714865
"CPTM L07-0","04:40:00","04:40:00",18965,"Pirituba",6,-23.488546,-46.726063
"CPTM L07-0","04:48:00","04:48:00",18923,"Vila Clarice",7,-23.469777,-46.743576
"CPTM L07-0","04:56:00","04:56:00",18922,"Jaraguá",8,-23.455648,-46.738225
"CPTM L07-0","05:04:00","05:04:00",4114459,"Vila Aurora",9,-23.438395,-46.74728
"CPTM L07-0","05:12:00","05:12:00",18921,"Perus",10,-23.405446,-46.753211
"CPTM L07-0","05:20:00","05:20:00",18924,"Caieiras",11,-23.367517,-46.753291
"CPTM L07-0","05:28:00","05:28:00",18925,"Franco Da Rocha",12,-23.329799,-46.726484
"CPTM L07-0","05:36:00","05:36:00",18926,"Baltazar Fidélis",13,-23.309902,-46.723816
"CPTM L07-0","05:44:00","05:44:00",18971,"Francisco Morato",14,-23.283322,-46.742329
"CPTM L07-0","05:52:00","05:52:00",18972,"Botujuru",15,-23.23633,-46.767359
"CPTM L07-0","06:00:00","06:00:00",18973,"Campo Limpo Paulista",16,-23.206348,-46.785887
"CPTM L07-0","06:08:00","06:08:00",18974,"Várzea Paulista",17,-23.209224,-46.829227
"CPTM L07-0","06:16:00","06:16:00",18975,"Jundiai",18,-23.19534,-46.872469
"CPTM L07-1","04:00:00","04:00:00",18975,"Jundiai",1,-23.19534,-46.872469
"CPTM L07-1","04:08:00","04:08:00",18974,"Várzea Paulista",2,-23.209224,-46.829227
"CPTM L07-1","04:16:00","04:16:00",18973,"Campo Limpo Paulista",3,-23.206348,-46.785887
"CPTM L07-1","04:24:00","04:24:00",18972,"Botujuru",4,-23.23633,-46.767359
"CPTM L07-1","04:32:00","04:32:00",18971,"Francisco Morato",5,-23.283322,-46.742329
"CPTM L07-1","04:40:00","04:40:00",18926,"Baltazar Fidélis",6,-23.309902,-46.723816
"CPTM L07-1","04:48:00","04:48:00",18925,"Franco Da Rocha",7,-23.329799,-46.726484
"CPTM L07-1","04:56:00","04:56:00",18924,"Caieiras",8,-23.367517,-46.753291
"CPTM L07-1","05:04:00","05:04:00",18921,"Perus",9,-23.405446,-46.753211
"CPTM L07-1","05:12:00","05:12:00",4114459,"Vila Aurora",10,-23.438395,-46.74728
"CPTM L07-1","05:20:00","05:20:00",18922,"Jaraguá",11,-23.455648,-46.738225
"CPTM L07-1","05:28:00","05:28:00",18923,"Vila Clarice",12,-23.469777,-46.743576
"CPTM L07-1","05:36:00","05:36:00",18965,"Pirituba",13,-23.488546,-46.726063
"CPTM L07-1","05:44:00","05:44:00",18916,"Piqueri",14,-23.504206,-46.714865
"CPTM L07-1","05:52:00","05:52:00",18917,"Lapa (linha 7)",15,-23.517675,-46.703534
"CPTM L07-1","06:00:00","06:00:00",18919,"Água Branca",16,-23.521787,-46.687667
"CPTM L07-1","06:08:00","06:08:00",18985,"Palmeiras - Barra Funda",17,-23.525607,-46.666648
"CPTM L07-1","06:16:00","06:16:00",18940,"Luz",18,-23.535207,-46.63487
"CPTM L08-0","04:00:00","04:00:00",18939,"Júlio Prestes",1,-23.534083,-46.640194
"CPTM L08-0","04:07:00","04:07:00",18920,"Palmeiras - Barra Funda",2,-23.525731,-46.665826
"CPTM L08-0","04:14:00","04:14:00",18918,"Lapa (linha 8)",3,-23.519585,-46.700122
"CPTM L08-0","04:21:00","04:21:00",18969,"Domingos De Moraes",4,-23.518913,-46.720916
"CPTM L08-0","04:28:00","04:28:00",18964,"Imperatriz Leopoldina",5,-23.523902,-46.73786
"CPTM L08-0","04:35:00","04:35:00",4011343,"Presidente Altino",6,-23.530241,-46.760679
"CPTM L08-0","04:42:00","04:42:00",18960,"Osasco",7,-23.527837,-46.776007
"CPTM L08-0","04:49:00","04:49:00",18959,"Comandante Sampaio",8,-23.525973,-46.795682
"CPTM L08-0","04:56:00","04:56:00",18958,"Quitaúna",9,-23.522842,-46.807206
"CPTM L08-0","05:03:00","05:03:00",18957,"General Miguel Costa",10,-23.523557,-46.817514
"CPTM L08-0","05:10:00","05:10:00",18956,"Carapicuiba",11,-23.518742,-46.835445
"CPTM L08-0","05:17:00","05:17:00",18955,"Santa Terezinha",12,-23.516848,-46.847948
